reference,skipper_id,url,assessment_number,name,town,city,country,zip,latitude,longitude,special_headline,short_description,long_description,property_type,views,date_added,new_build,is_rent,is_sale,is_let,price,price_from,daily_rate,under_contract,under_offer,status_banner,bedrooms,bathrooms,half_bathrooms,is_pets,buyer_type,youtube_id,vimeo_id,rego_embed_id,paradym_url,virtual_tour_url,virtual_tour_img,lotsize,sqft,date_relisted,agent,images
fr_FR108,33363,https://www.propertyskipper.com/property/13_glebe_hill_fr_fr108,80898017,17 Glebe Hill,,Hamilton Parish,Bermuda,HS02,32.33108338,-64.70176668,,"<p>Located at the crest of Glebe Hill in Tucker's Town, The Glebe House commands stunning views overlooking Bermuda's breathtaking South Shore. The property&#8230;</p>","<p>Located at the crest of Glebe Hill in Tucker's Town, The Glebe House commands stunning views overlooking Bermuda's breathtaking South Shore. The property sits on an acre of some of the most coveted residential land in Bermuda, offering both serenity and privacy. Designed by a prot&eacute;g&eacute; of Frank Lloyd Wright and built in 1960, there has been upgrades over the years which continue to enhance the appeal of the estate. The home has the distinction of being the former private retreat of Lord Martonmere, a Governor of Bermuda. Built for entertaining, with multiple outdoor entertaining areas, the outdoor entertaining area feautres a large pool and pool deck plus supporting pool house overlooking the Mid-Ocean golf course and beyond. The kitchen has been updated with two dishwashers, three ovens, a sub-zero fridge and freezer, warming drawers, trash compactor and more. From the entrance pavilion, a sweeping staircase leads downstairs to the two-story living room with its beautiful fireplace and views of the South Shore. For those with mobility issues, a thoughtfully added elevator is available. A cozy wet bar and powder room are conveniently located in the same area. The adjacent oval dining room is enhanced by sweeping windows, marble floors and a dramatic Bermuda stone atrium. Adjacent to the room is the wood-paneled library with fireplace and glass doors leading to a large covered patio and cocktail lawn. Upstairs in the South wing is the Master suite complete with separate dressing room and bathroom. There is also a study or additional bedroom with en-suite bathroom. The North wing features a study and 3 additional guest bedrooms all with en-suite bathrooms. In addition to the bedrooms and the staff accommodations within the main house there are a private, self-contained 2 bed, 1 bath apartment and a 1 bed, 1 bath apartment. There are 3 garages and 4 water-tanks to help support this large property. PLEASE NOTE: Buyers who come directly to Frith Real Estate will benefit from significantly lower transaction costs when purchasing. Submit an enquiry for more information. Agents are welcome.</p>",House,,2/16/2021,0,0,1,0,5950000,0,0,0,0,,5,5,0,,International,,,,,,,0,0,,"[b'442', b'Sue Frith', b'Frith Real Estate', b'sue@frith.bm', b'(441) 333-7067']","[b'https://www.propertyskipper.com/assets/properties/33363/lg/1.jpg', b'https://www.propertyskipper.com/assets/properties/33363/lg/2.jpg', b'https://www.propertyskipper.com/assets/properties/33363/lg/3.jpg', b'https://www.propertyskipper.com/assets/properties/33363/lg/4.jpg', b'https://www.propertyskipper.com/assets/properties/33363/lg/5.jpg', b'https://www.propertyskipper.com/assets/properties/33363/lg/6.jpg', b'https://www.propertyskipper.com/assets/properties/33363/lg/7.jpg', b'https://www.propertyskipper.com/assets/properties/33363/lg/8.jpg', b'https://www.propertyskipper.com/assets/properties/33363/lg/9.jpg', b'https://www.propertyskipper.com/assets/properties/33363/lg/10.jpg', b'https://www.propertyskipper.com/assets/properties/33363/lg/11.jpg']"
reg_HM947,35566,https://www.propertyskipper.com/property/reg_hm947_stargazy,81277610,Stargazy,,Hamilton Parish,Bermuda,,32.3395668,-64.70941096,,"<p>Live elevated at ‘Stargazy’, an architectural gem designed to offer spectacular views of Harrington Sound from almost every room. Situated in tranquil neighborhood on 0.75 acres (0.30 ha), this move-in ready contemporary home was built in 2018 to accommodate an indoor/outdoor lifestyle. Built with&#8230;</p>","<p>Live elevated at ‘Stargazy’, an architectural gem designed to offer spectacular views of Harrington Sound from almost every room. Situated in tranquil neighborhood on 0.75 acres (0.30 ha), this move-in ready contemporary home was built in 2018 to accommodate an indoor/outdoor lifestyle. Built with special features such as touchpad controlled heated flooring and high-quality, impact-rated floor to ceiling doors and windows throughout, capturing ocean views and providing natural light. The bespoke Spanish Cedar main door was locally crafted accompanied by Mandarin stone marble flooring on the ground floor. The spacious open-plan living spaces flow outdoors to a deep covered verandah with an area designed for year-round BBQs and a wet bar. A 50” Touchstone Sideline electric fireplace in the living room creates a cozy atmosphere, the 5’ chandelier over the dining table and spectacular glass pendant in stairwell are both quality crafted by an Israeli glassmaker. The well-equipped kitchen boasts 12’ high ceilings, is complete with all major appliances with white quartz countertops. Take the graceful staircase to a bedroom suite with sliding doors leading to a private garden and ascend further to an elegant Primary Suite and 2 additional bedrooms, all with hard wood flooring and split-AC units. The Primary bedroom features floor to ceiling glass doors leading to large terrace offering 180-degree views of Castle Harbour, Harrington Sound and North Shore. The property is accessed by a well-lit bricked driveway with plenty of guest parking and a garage. A separate studio cottage is privately located on lower level and ideal for guests or rental income. Snorkel or kayak off the private Deeded right of way to the waters of Harrington Sound. Located 3 minutes’ drive from world-class golf courses, Mid Ocean Golf Club and Rosewood Tuckers Point Club & Resort. Available to Bermudians, PRCs & Belongers.</p>",House,,9/13/2022,0,0,1,0,3800000,0,0,0,0,,4,4,0,,Bermudian,,,,,,,0.75,6200,,"[b'52', b'Rhonda Casling', b""Rego Sotheby's International Realty"", b'rhonda@regosir.com', b'335-9517']","[b'https://www.propertyskipper.com/assets/properties/35566/lg/1.jpg', b'https://www.propertyskipper.com/assets/properties/35566/lg/2.jpg', b'https://www.propertyskipper.com/assets/properties/35566/lg/3.jpg', b'https://www.propertyskipper.com/assets/properties/35566/lg/4.jpg', b'https://www.propertyskipper.com/assets/properties/35566/lg/5.jpg', b'https://www.propertyskipper.com/assets/properties/35566/lg/6.jpg', b'https://www.propertyskipper.com/assets/properties/35566/lg/7.jpg', b'https://www.propertyskipper.com/assets/properties/35566/lg/8.jpg', b'https://www.propertyskipper.com/assets/properties/35566/lg/9.jpg', b'https://www.propertyskipper.com/assets/properties/35566/lg/10.jpg', b'https://www.propertyskipper.com/assets/properties/35566/lg/11.jpg', b'https://www.propertyskipper.com/assets/properties/35566/lg/12.jpg', b'https://www.propertyskipper.com/assets/properties/35566/lg/13.jpg', b'https://www.propertyskipper.com/assets/properties/35566/lg/14.jpg', b'https://www.propertyskipper.com/assets/properties/35566/lg/15.jpg', b'https://www.propertyskipper.com/assets/properties/35566/lg/16.jpg', b'https://www.propertyskipper.com/assets/properties/35566/lg/17.jpg', b'https://www.propertyskipper.com/assets/properties/35566/lg/18.jpg', b'https://www.propertyskipper.com/assets/properties/35566/lg/19.jpg']"
fr_FR117,30413,https://www.propertyskipper.com/property/29_oleander_hill_fr_fr117,110214315,29 Oleander Hill,,Smith's,Bermuda,FL08,32.32101168,-64.72136073,,"<p>Twin Palms is simply spectacular with water views of Harrington Sound from almost every room. A stately family home, Twin Palms grabs your attention the&#8230;</p>","<p>Twin Palms is simply spectacular with water views of Harrington Sound from almost every room. A stately family home, Twin Palms grabs your attention the moment you enter the foyer and catch sight of the clear blue waters of Harrington Sound through the gracious living room. Sliding doors lead to a  30 foot covered veranda where you can enjoy a glass of wine while watching the sunset. For the holidays, the living room features a woodburning fireplace and opens to the formal dining room which also features gorgeous water views. Next door is the renovated eat-in kitchen with a stainless steel state of the art appliances and a large island with seating for four.  Again taking full advantage of the water view is the in kitchen dining area, which could also be set up as a play area or a tv room. A cheerful laundry room and home office are conveniently located nearby. The opposite wing is comprised of the Master Bedroom suite with Juliette balcony overlooking Harrington Sound. The master bath is spacious and is newly renovated. The master  has a dream closet with custom cabinetry. Two guest bedrooms with Jack and Jill bath plus a bonus full bath complete the first floor. Downstairs are two additional bedrooms, a spacious games room with sliding doors leading to the pool area, and a cozy family room with gas fireplace. No need to go the gym...this level includes a private gym. Twin Palms has it all. Enquire today to make an appointment. PLEASE NOTE: Buyers who come directly to Frith Real Estate will benefit from significantly lower transaction costs when purchasing. Submit an enquiry for more information. Agents are welcome.</p>",House,,7/26/2019,0,0,1,0,2800000,0,0,0,0,,5,5,0,,Bermudian,,,,,,,0,0,,"[b'442', b'Sue Frith', b'Frith Real Estate', b'sue@frith.bm', b'(441) 333-7067']","[b'https://www.propertyskipper.com/assets/properties/30413/lg/1.jpg', b'https://www.propertyskipper.com/assets/properties/30413/lg/2.jpg', b'https://www.propertyskipper.com/assets/properties/30413/lg/3.jpg', b'https://www.propertyskipper.com/assets/properties/30413/lg/4.jpg', b'https://www.propertyskipper.com/assets/properties/30413/lg/5.jpg', b'https://www.propertyskipper.com/assets/properties/30413/lg/6.jpg', b'https://www.propertyskipper.com/assets/properties/30413/lg/7.jpg', b'https://www.propertyskipper.com/assets/properties/30413/lg/8.jpg', b'https://www.propertyskipper.com/assets/properties/30413/lg/9.jpg', b'https://www.propertyskipper.com/assets/properties/30413/lg/10.jpg', b'https://www.propertyskipper.com/assets/properties/30413/lg/11.jpg', b'https://www.propertyskipper.com/assets/properties/30413/lg/12.jpg', b'https://www.propertyskipper.com/assets/properties/30413/lg/13.jpg', b'https://www.propertyskipper.com/assets/properties/30413/lg/14.jpg', b'https://www.propertyskipper.com/assets/properties/30413/lg/15.jpg', b'https://www.propertyskipper.com/assets/properties/30413/lg/16.jpg', b'https://www.propertyskipper.com/assets/properties/30413/lg/17.jpg', b'https://www.propertyskipper.com/assets/properties/30413/lg/18.jpg', b'https://www.propertyskipper.com/assets/properties/30413/lg/19.jpg', b'https://www.propertyskipper.com/assets/properties/30413/lg/20.jpg', b'https://www.propertyskipper.com/assets/properties/30413/lg/21.jpg', b'https://www.propertyskipper.com/assets/properties/30413/lg/22.jpg', b'https://www.propertyskipper.com/assets/properties/30413/lg/23.jpg', b'https://www.propertyskipper.com/assets/properties/30413/lg/24.jpg', b'https://www.propertyskipper.com/assets/properties/30413/lg/25.jpg']"
pgrp_PW-984,35187,https://www.propertyskipper.com/property/pgrp_pw_984_portside,,Portside,,Southampton,Bermuda,,32.25124476,-64.84246731,,"<p><p>Located in a wonderful neighborhood in Southampton, &ldquo;Portside&rdquo; is a beautiful family home with an income-generating apartment, pool and pool house. The pool and pool house are ideal for entertaining. The house sits on .45 acres on the South side of St. Anne&rsquo;s Road and enjoys sunset&#8230;</p>","<p><p>Located in a wonderful neighborhood in Southampton, &ldquo;Portside&rdquo; is a beautiful family home with an income-generating apartment, pool and pool house. The pool and pool house are ideal for entertaining. The house sits on .45 acres on the South side of St. Anne&rsquo;s Road and enjoys sunset views of the South Shore from the patio. The main home has a guest entrance, as well as a recently added mud room entrance that leads to the kitchen. On the east side of the house there are 3-bedrooms and 2-bathrooms. The kitchen and dining room are in the heart of the home and the living room and sun room are situated on the west side of the house. Down the stairs that are off of the kitchen there is an additional bedroom with a kitchen and bathroom that is connected to the main house. There is also a separate 1 bedroom apartment on the lower level which can be used for income or guests/extended family. The lower level has a second laundry room that services both apartments. Benefitting from many improvements over the past few years, the home has had a complete renovation of the second apartment and in the main house a new ceiling in the kitchen, french doors, new windows on the south side of the house and a new fireplace in the living room. &ldquo;Portside&rdquo; is near the South Shore parks and beaches, railway trail, golf course, and restaurants. It ticks all of the boxes and is a must-see property!</p></p>",House,,5/24/2022,0,0,1,0,1650000,0,0,0,0,,4,3,,,Bermudian,,,,,,,0.45,3000,,"[b'309', b'Allison Settle', b'Property Group', b'allison@tpg.bm', b'4417076050']","[b'https://www.propertyskipper.com/assets/properties/35187/lg/1.jpg', b'https://www.propertyskipper.com/assets/properties/35187/lg/2.jpg', b'https://www.propertyskipper.com/assets/properties/35187/lg/3.jpg', b'https://www.propertyskipper.com/assets/properties/35187/lg/4.jpg', b'https://www.propertyskipper.com/assets/properties/35187/lg/5.jpg', b'https://www.propertyskipper.com/assets/properties/35187/lg/6.jpg', b'https://www.propertyskipper.com/assets/properties/35187/lg/7.jpg', b'https://www.propertyskipper.com/assets/properties/35187/lg/8.jpg', b'https://www.propertyskipper.com/assets/properties/35187/lg/9.jpg', b'https://www.propertyskipper.com/assets/properties/35187/lg/10.jpg', b'https://www.propertyskipper.com/assets/properties/35187/lg/11.jpg', b'https://www.propertyskipper.com/assets/properties/35187/lg/12.jpg', b'https://www.propertyskipper.com/assets/properties/35187/lg/13.jpg', b'https://www.propertyskipper.com/assets/properties/35187/lg/14.jpg', b'https://www.propertyskipper.com/assets/properties/35187/lg/15.jpg', b'https://www.propertyskipper.com/assets/properties/35187/lg/16.jpg', b'https://www.propertyskipper.com/assets/properties/35187/lg/17.jpg', b'https://www.propertyskipper.com/assets/properties/35187/lg/18.jpg', b'https://www.propertyskipper.com/assets/properties/35187/lg/19.jpg', b'https://www.propertyskipper.com/assets/properties/35187/lg/20.jpg', b'https://www.propertyskipper.com/assets/properties/35187/lg/21.jpg', b'https://www.propertyskipper.com/assets/properties/35187/lg/22.jpg']"
hrbr_195,35302,https://www.propertyskipper.com/property/hrbr_195_2_miramar,,#2 Miramar,,Pembroke,Bermuda,,32.29243333,-64.79058086,,<p>Location Location Location! - One of twelve under construction condominiums to be completed by the Spring of 2023. This&#8230;</p>,"<p>Location Location Location! - One of twelve under construction condominiums to be completed by the Spring of 2023. This executive condominium on the ground floor overlooks manicure grounds, foundations and with a glimpse of Hamilton Harbour.  Drive into the underground garage and step onto the elevator to the first floor.  Enter into the spacious open plan kitchen/dining/living room which leads out to the covered terrace.  The main bedroom suite has a walk-in closet and bathroom with double sinks and large shower.  The other wing offers a bedroom, bathroom and laundry.  The interior sq. footage is approx. 1,425 and the terrace is 150 square feet.  Unit #6 - 2nd floor at $1,385,000* and Unit #10 - Penthouse at $1,485,000* offer the same vista but with enhanced views.  *Please note that stamp duty and conveyance fees are for the Purchaser's account. Given the location, convenience and high end finishes makes a Miramar condo an ideal rental investment property or a carefree living home. Please call Jonelle Smith, Sole Agent, for further information or an appointment to view.</p>",House,,6/29/2022,0,0,1,0,1285000,0,0,0,0,,2,2,0,,Bermudian,,,,,,,0,0,,"[b'259', b'Jonelle White Smith', b'Harbour Realty', b'jonelle@harbourrealty.bm', b'+1 441-333-5374']","[b'https://www.propertyskipper.com/assets/properties/35302/lg/1.jpg', b'https://www.propertyskipper.com/assets/properties/35302/lg/2.jpg', b'https://www.propertyskipper.com/assets/properties/35302/lg/3.jpg']"
hrbr_194,35301,https://www.propertyskipper.com/property/hrbr_194_1_miramar,,#1 Miramar,,Pembroke,Bermuda,,32.29248775,-64.79072034,,<p>Location Location Location! - One of twelve under construction condominiums to be completed by the Spring of 2023. This&#8230;</p>,"<p>Location Location Location! - One of twelve under construction condominiums to be completed by the Spring of 2023. This ground floor unit steps out to the lawn with views of Hamilton Harbour.  Drive into the underground garage and step onto the elevator to the first floor.  Enter into the spacious open plan kitchen/dining/living room which leads out to the covered terrace.  The main bedroom suite has a walk-in closet and bathroom with double sinks and large shower.  The other wing offers a bedroom, bathroom and laundry.  The interior sq. footage is approx. 1,425 and the terrace is 150 square feet.  Unit #5 - 2nd floor at $1,375,000* and Unit #9 - Penthouse at $1,495,000* offer the same vista but with enhanced views of the Harbour.  *Please note that stamp duty and conveyance fees are for the Purchaser's account. Given the location, convenience and high end finishes makes a Miramar condo an ideal rental investment property or a carefree living home. Please call Jonelle Smith, Sole Agent, for further information or an appointment to view.</p>",Condo,,6/29/2022,0,0,1,0,1275000,0,0,0,0,,2,2,0,,Bermudian,,,,,,,0,0,,"[b'259', b'Jonelle White Smith', b'Harbour Realty', b'jonelle@harbourrealty.bm', b'+1 441-333-5374']","[b'https://www.propertyskipper.com/assets/properties/35301/lg/1.jpg', b'https://www.propertyskipper.com/assets/properties/35301/lg/2.jpg', b'https://www.propertyskipper.com/assets/properties/35301/lg/3.jpg']"
bpl_593359,35613,https://www.propertyskipper.com/property/amazing_family_home_in_ferry_reach_for_sale_with_3_bed_3_bath_mainhouse_bpl_593359,,AMAZING FAMILY HOME IN FERRY REACH FOR SALE WITH 3 BED 3 BATH MAINHOUSE,,St. Georges,Bermuda,GE01,0,0,"AMAZING FAMILY HOME IN FERRY REACH FOR SALE WITH 3 BED 3 BATH MAINHOUSE AND 2 BED 1 BATH APARTMENT - $950,000","<p>Amazing water views can be seen in the distance from this two-storeycottage with an apartment.&ldquo;Windy Heights&rdquo;,&#8230;</p>","<p>Amazing water views can be seen in the distance from this two-storeycottage with an apartment.&ldquo;Windy Heights&rdquo;, perched on an elevated lot offers three bedrooms three baths, kitchen, dining and living area on the northern side and a two bedroom one bath on the southern end.On the upper level of the main unit is a one bedroom and one bath, andan open plan kitchen, dining and living space with access to the balcony with viewsvia two French doors.The master bedroom with bath en-suite is on the lower level with access to the terrace along with the third bedroom one bath that can be converted to an apartment if required (with planning approval) or utilized as an office/gym. This level was added in 2011.The adjoining two bedroom one bath apartment has a glimpse of the water and has its own separate entrance/garden space. Substantial renovations were done in 2010 with pvc windows, bathroom and floors. It&rsquo;s presently rented for $2,600 until 31 December, 2022.Acres: .252ARV: $32,400 / $21,000Residential: 1</p>",House,,10/4/2022,0,0,1,0,950000,0,0,0,0,,3,3,0,-1,Bermudian,,,,,,,0,0,,"[b'77', b'Donna E. Evans', b'Bermuda Property Link Ltd.', b'donna@bermudapropertylink.com', b'441-704-8938']","[b'https://www.propertyskipper.com/assets/properties/35613/lg/1.jpg', b'https://www.propertyskipper.com/assets/properties/35613/lg/2.jpg', b'https://www.propertyskipper.com/assets/properties/35613/lg/3.jpg', b'https://www.propertyskipper.com/assets/properties/35613/lg/4.jpg', b'https://www.propertyskipper.com/assets/properties/35613/lg/5.jpg', b'https://www.propertyskipper.com/assets/properties/35613/lg/6.jpg', b'https://www.propertyskipper.com/assets/properties/35613/lg/7.jpg', b'https://www.propertyskipper.com/assets/properties/35613/lg/8.jpg', b'https://www.propertyskipper.com/assets/properties/35613/lg/9.jpg', b'https://www.propertyskipper.com/assets/properties/35613/lg/10.jpg']"
cra_S1254,35620,https://www.propertyskipper.com/property/cra_s1254_palm_spring_village_two_units,70753016,Palm Spring Village (Two Units),,Paget,Bermuda,,32.281945,-64.779857,,<p>Paget welcomes you to Palm Spring Village! Centrally located this affordable condo gives you a three Bedroom upper main&#8230;</p>,"<p>Paget welcomes you to Palm Spring Village! Centrally located this affordable condo gives you a three Bedroom upper main home with a two bedroom apartment below. A perfect investment opportunity.Enter the main house through the Bermuda cedar door…from the foyer, you enter the den/office, the kitchen and the living room. The dining room and kitchen both lead onto a covered patio, very private, perfect for alfresco dining and barbecuing.The three bedrooms are all off the living room with a hall bath and a large master bedroom with a walk-in closet.Extra income is always a bonus. The two-bedroom lower apartment is spacious and has plenty of storage. The large garden area is well maintained with a large parking area and ample space for outdoor fun.</p>",Condo,,10/6/2022,0,0,1,0,875000,0,0,0,0,,4,1,0,-1,Bermudian,,,,,,,0,0,,"[b'470', b'Jen Young', b'Cranfields Property Bermuda Ltd', b'jen@bda4sale.com', b'+1-441-777 5941']","[b'https://www.propertyskipper.com/assets/properties/35620/lg/1.jpg', b'https://www.propertyskipper.com/assets/properties/35620/lg/2.jpg', b'https://www.propertyskipper.com/assets/properties/35620/lg/3.jpg', b'https://www.propertyskipper.com/assets/properties/35620/lg/4.jpg', b'https://www.propertyskipper.com/assets/properties/35620/lg/5.jpg', b'https://www.propertyskipper.com/assets/properties/35620/lg/6.jpg', b'https://www.propertyskipper.com/assets/properties/35620/lg/7.jpg', b'https://www.propertyskipper.com/assets/properties/35620/lg/8.jpg', b'https://www.propertyskipper.com/assets/properties/35620/lg/9.jpg', b'https://www.propertyskipper.com/assets/properties/35620/lg/10.jpg', b'https://www.propertyskipper.com/assets/properties/35620/lg/11.jpg', b'https://www.propertyskipper.com/assets/properties/35620/lg/12.jpg', b'https://www.propertyskipper.com/assets/properties/35620/lg/13.jpg', b'https://www.propertyskipper.com/assets/properties/35620/lg/14.jpg']"
tr_2861,33555,https://www.propertyskipper.com/property/tr_2861_shelly_hall_unit_35,81221118,Shelly Hall Unit #35 - GREAT RETURN ON INVESTMENT!,,Hamilton Parish,Bermuda,,32.3374245,-64.7361047,,"<p>&nbsp; Shelly Hall is an expansive property featuring three pools, a large playing field, and a walking trail. Conveniently&#8230;</p>","<p>&nbsp;

Shelly Hall is an expansive property featuring three pools, a large playing field, and a walking trail. Conveniently located near a supermarket, gas station, and post office. Shelly Bay beach and park are just a stone's throw away.
Please click to download brochure. CURRENTLY RENTED MAKING A GREAT RETURN ON INVESTMENT.

Gorgeous one-level turnkey ready with accents of cedar throughout!

As you walk down a few steps from your car you enter the foyer and into a large open-plan living/dining room with a large kitchen. Off the kitchen is a large patio overlooking the playing field, a great place to entertain. This three-bedroom unit features a large master bedroom with a newly remodeled bathroom and walk-in closet. Two additional bedrooms share a second bathroom. One of the bedrooms has a custom build wall unit with a desk that can double as a home office. Additionally, there is a laundry room.

The unit is currently rented until 31st August 2024. This would be perfect for someone looking to downsize in the future while earning an excellent return on their investment with an ROI of over 6.5%.

Please call the listing agent, Michael DeSousa for more details.

&nbsp;

&nbsp;

&nbsp;

&nbsp;

&nbsp;

&nbsp;</p>",Condo,,8/2/2021,0,0,1,0,800000,0,0,0,0,,3,2,0,,Bermudian,,,,,,,0,0,8/2/2021,"[b'335', b'Michael DeSousa', b'Think Real Estate', b'michael@thinkreal.bm', b'(441) 505-3690']","[b'https://www.propertyskipper.com/assets/properties/33555/lg/1.jpg', b'https://www.propertyskipper.com/assets/properties/33555/lg/2.jpg', b'https://www.propertyskipper.com/assets/properties/33555/lg/3.jpg', b'https://www.propertyskipper.com/assets/properties/33555/lg/4.jpg', b'https://www.propertyskipper.com/assets/properties/33555/lg/5.jpg', b'https://www.propertyskipper.com/assets/properties/33555/lg/6.jpg', b'https://www.propertyskipper.com/assets/properties/33555/lg/7.jpg', b'https://www.propertyskipper.com/assets/properties/33555/lg/8.jpg', b'https://www.propertyskipper.com/assets/properties/33555/lg/9.jpg', b'https://www.propertyskipper.com/assets/properties/33555/lg/10.jpg', b'https://www.propertyskipper.com/assets/properties/33555/lg/11.jpg', b'https://www.propertyskipper.com/assets/properties/33555/lg/12.jpg', b'https://www.propertyskipper.com/assets/properties/33555/lg/13.jpg', b'https://www.propertyskipper.com/assets/properties/33555/lg/14.jpg', b'https://www.propertyskipper.com/assets/properties/33555/lg/15.jpg', b'https://www.propertyskipper.com/assets/properties/33555/lg/16.jpg', b'https://www.propertyskipper.com/assets/properties/33555/lg/17.jpg', b'https://www.propertyskipper.com/assets/properties/33555/lg/18.jpg', b'https://www.propertyskipper.com/assets/properties/33555/lg/19.jpg']"
pgrp_PW-1005,35567,https://www.propertyskipper.com/property/pgrp_pw_1005_lovely_family_home_in_warwick,101240015,Lovely Family Home in Warwick,,Warwick,Bermuda,,32.279456,-64.777589,,"<p><p>A lovely family home with income in a nice Warwick neighbour. The upper level consists of 2 large bedrooms, 1 full bathroom, galley kitchen with some upgrades, nice dining room area, laundry room and living-room with tradition fireplace, wide hallways, and spacious patio having views of the sound&#8230;</p>","<p><p>A lovely family home with income in a nice Warwick neighbour. The upper level consists of 2 large bedrooms, 1 full bathroom, galley kitchen with some upgrades, nice dining room area, laundry room and living-room with tradition fireplace, wide hallways, and spacious patio having views of the sound all the way to Dockyard.<span class=""Apple-converted-space"">&nbsp; </span>On the lower level is a<span class=""Apple-converted-space"">&nbsp; </span>nice size 1 bedroom apartment with a separate living/room/ kitchen and a laundry room. Grassy area for backyard entertainment, mature cedar trees and foliage.<span class=""Apple-converted-space"">&nbsp;</span></p></p>",House,,9/14/2022,0,0,1,0,799000,0,0,0,0,,3,2,,,Bermudian,,,,,,,0.13,0,,"[b'385', b'Cheryl Ford', b'Property Group', b'cheryl@tpg.bm', b'441-505-6118']","[b'https://www.propertyskipper.com/assets/properties/35567/lg/1.jpg', b'https://www.propertyskipper.com/assets/properties/35567/lg/2.jpg', b'https://www.propertyskipper.com/assets/properties/35567/lg/3.jpg', b'https://www.propertyskipper.com/assets/properties/35567/lg/4.jpg', b'https://www.propertyskipper.com/assets/properties/35567/lg/5.jpg', b'https://www.propertyskipper.com/assets/properties/35567/lg/6.jpg', b'https://www.propertyskipper.com/assets/properties/35567/lg/7.jpg', b'https://www.propertyskipper.com/assets/properties/35567/lg/8.jpg', b'https://www.propertyskipper.com/assets/properties/35567/lg/9.jpg', b'https://www.propertyskipper.com/assets/properties/35567/lg/10.jpg', b'https://www.propertyskipper.com/assets/properties/35567/lg/11.jpg', b'https://www.propertyskipper.com/assets/properties/35567/lg/12.jpg', b'https://www.propertyskipper.com/assets/properties/35567/lg/13.jpg', b'https://www.propertyskipper.com/assets/properties/35567/lg/14.jpg', b'https://www.propertyskipper.com/assets/properties/35567/lg/15.jpg', b'https://www.propertyskipper.com/assets/properties/35567/lg/16.jpg', b'https://www.propertyskipper.com/assets/properties/35567/lg/17.jpg', b'https://www.propertyskipper.com/assets/properties/35567/lg/18.jpg', b'https://www.propertyskipper.com/assets/properties/35567/lg/19.jpg', b'https://www.propertyskipper.com/assets/properties/35567/lg/20.jpg', b'https://www.propertyskipper.com/assets/properties/35567/lg/21.jpg', b'https://www.propertyskipper.com/assets/properties/35567/lg/22.jpg', b'https://www.propertyskipper.com/assets/properties/35567/lg/23.jpg', b'https://www.propertyskipper.com/assets/properties/35567/lg/24.jpg', b'https://www.propertyskipper.com/assets/properties/35567/lg/25.jpg']"
